what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.aptana.portal.ui,3.0.0.1316445268,"com.aptana.portal.ui",1318750011058
stopped,bundle,org.radrails.rails.ui,3.0.2.1316214164,"org.radrails.rails.ui",1318750011059
stopped,bundle,com.aptana.workbench,3.0.0.1312303461,"com.aptana.workbench",1318750011060
stopped,bundle,com.aptana.explorer,3.0.0.1316717122,"com.aptana.explorer",1318750011060
stopped,bundle,com.aptana.js.debug.ui,3.0.0.1311123158,"com.aptana.js.debug.ui",1318750011061
stopped,bundle,com.aptana.editor.html,3.0.3.1317304012,"com.aptana.editor.html",1318750011061
stopped,bundle,com.aptana.editor.sass,3.0.2.1311947047,"com.aptana.editor.sass",1318750011061
stopped,bundle,com.aptana.editor.svg,3.0.3.1317304012,"com.aptana.editor.svg",1318750011062
stopped,bundle,com.aptana.editor.css,3.0.3.1317304012,"com.aptana.editor.css",1318750011062
stopped,bundle,com.aptana.editor.diff,3.0.0.1317304012,"com.aptana.editor.diff",1318750011063
stopped,bundle,com.aptana.editor.xml.formatter,3.0.0.1310764263,"com.aptana.editor.xml.formatter",1318750011063
stopped,bundle,com.aptana.editor.xml,3.0.0.1317304012,"com.aptana.editor.xml",1318750011064
